cam_x		cam_y		cam_z		descriptor
217125.565	3359916.883	665.175		photo_1
217128.809	3359916.206	666.017		photo_2
217130.944	3359919.868	666.368		photo_3
217135.044	3359920.552	666.171		photo_4
217140.217	3359924.638	665.739		photo_5
217142.019	3359926.658	665.486		photo_6
217143.768	3359929.438	665.59		photo_7
217148.594	3359931.733	665.738		photo_8
217151.220	3359931.452	665.608		photo_9
217154.035	3359931.632	665.608		photo_10
217154.280	3359931.690	665.448		photo_11
217155.232	3359934.196	665.702		photo_12
217158.018	3359933.808	665.343		photo_13
217160.169	3359936.735	665.665		photo_14
217162.943	3359939.223	665.708		photo_15
217168.203	3359939.330	665.707		photo_16
217169.862	3359943.323	665.845		photo_17
217172.376	3359942.101	665.8		photo_18
217174.408	3359944.077	665.885		photo_19
217177.202	3359944.720	665.993		photo_20
217180.530	3359946.474	666.036		photo_21
217183.289	3359948.158	666.178		photo_22
217185.088	3359950.852	667.183		photo_23
217187.566	3359951.525	666.017		photo_24
217189.009	3359954.628	665.116		photo_25
